C,16065,1773859231.99
C,10999,1773859252.43
T,10999,0
C,5372,1773859355.79
T,5372,0
C,5446,1773859422.77
C,23501,1773859474.78
T,23501,0
C,4936,1773859514.34
C,12223,1773859573.21
T,12223,0
C,12222,1773859678.76
T,12222,0
C,390,1773859892.47
C,5369,1773867137.74
T,5369,0
C,3062,1773867176.27
T,3062,0
C,5301,1773867236.04
T,5301,0
C,5332,1773867339.89
T,5332,0
C,5314,1773867378.15
T,5314,0
C,23475,1773867751.63
T,23475,0
C,5411,1773867812.51
C,23470,1773867878.47
T,23470,0
C,1080,1773867965.91
C,5048,1773868092.93
C,28727,1773880527.79
T,28727,0
C,23492,1773880618.29
T,23492,0
C,29554,1773880730.78
T,29554,0
C,23485,1773881023.04
T,23485,0
C,23489,1773881052.68
T,23489,0
C,23479,1773881481.32
T,23479,0
C,5273,1773881545.39
T,5273,0
C,30377,1773881582.59
T,30377,0
C,29538,1773881702.43
C,29558,1773882057.17
T,29558,0
C,30532,1773882220.32
C,30555,1773883022.76
T,30555,0
C,30579,1773883150.81
T,30579,0
C,30534,1773883206.73
T,30534,0
C,30577,1773883339.95
T,30577,0
C,30865,1773883502.95
C,30865,1773883868.04
T,30865,0
C,30769,1773883950.23
T,30769,0
C,30936,1773884006.34
T,30936,0
C,30968,1773884153.79
T,30968,0
C,30875,1773884275.07
T,30875,0
C,5411,1773884343.77
T,5411,0
C,31022,1773884419.27
T,31022,0
C,30745,1773884467.32
T,30745,0
C,29599,1773884773.79
T,29599,0
C,29596,1773884846.51
T,29596,0
C,31587,1773885794.89
T,31587,0
C,30549,1773885997.41
T,30549,0
C,31619,1773886105.53
T,31619,0
C,31040,1773886301.59
T,31040,0
C,31037,1773886313.82
C,31172,1773887131.84
T,31172,0
C,31152,1773887202.95
T,31152,0
C,30937,1773887254.64
T,30937,0
C,32098,1773887475.99
T,32098,0
C,32085,1773887562.52
T,32085,0
C,31670,1773887655.44
T,31670,0
C,32112,1773887716.69
T,32112,0
C,32124,1773888005.66
T,32124,0
C,32076,1773888082.70
T,32076,0
C,31629,1773888159.20
T,31629,0
